CAT_MAT;DESCRICAO;DOSAGEM;DOSE_DE_USO;APRESENTACAO;QUANT_DOSE_USO;QUANT_FRAC_APRESENT;FORMA_FARMACEUTICA;FRACIONADO;SOLICITA_FAR;TIPO;STATUS
203277;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1;;;;;;;ALM;Inativo
269477;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO, MATERIAL ALMOFADA ESPONJA ABSORVENTE REVESTIDA DE TECIDO,;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
301744;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO/METAL, TAMANHO N? 3, COR AZUL, COMPRIMENTO 12, LARGURA 8;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
301744;ALMOFADA CARIMBO, MATERIAL CAIXA PLASTICO/METAL, TAMANHO N? 3, COR AZUL, COMPRIMENTO 12, LARGURA 8;1 | UNIDADE;1;;;;;;;ALM;Inativo
45705;APAGADOR QUADRO BRANCO, NOME APAGADOR DE QUADRO - BRANCO;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
45705;APAGADOR QUADRO BRANCO, NOME APAGADOR DE QUADRO - BRANCO;1 | UNIDADE;1;;;;;;;ALM;Inativo
202454;APONTADOR LAPIS, MATERIAL PLASTICO, TIPO ESCOLAR, COR AZUL, TAMANHO PEQUENO; | ;0;;;;;;;ALM;Inativo
202454;APONTADOR LAPIS, MATERIAL PLASTICO, TIPO ESCOLAR, COR AZUL, TAMANHO PEQUENO; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
31267;BARBANTE, BARBANTE; | ;0;;;;;;;ALM;Inativo
31267;BARBANTE, BARBANTE; | ;0 | RL;;;;;;;ALM;Inativo
55115;BARRICA DE PAPELAO; | ;0;;;;;;;ALM;Inativo
55115;BARRICA DE PAPELAO; | ;0 | CONJ;;;;;;;ALM;Inativo
111007;BASE FITA ADESIVA, NOME SUPORTE PARA FITA ADESIVA;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
111007;BASE FITA ADESIVA, NOME SUPORTE PARA FITA ADESIVA;1 | UNIDADE;1;;;;;;;ALM;Inativo
234354;BATERIA NAO RECARREGAVEL, TIPO ALCALINA, VOLTAGEM 9, APLICACAO APARELHO ELETRO-ELETRONICO; | ;0;;;;;;;ALM;Inativo
234354;BATERIA NAO RECARREGAVEL, TIPO ALCALINA, VOLTAGEM 9, APLICACAO APARELHO ELETRO-ELETRONICO; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
229227;BIBLIOCANTO, MATERIAL ACO, ESPESSURA 2, LARGURA 24, ALTURA 18, APLICACAO APOIO VERTICAL LIVROS, FORM;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
229227;BIBLIOCANTO, MATERIAL ACO, ESPESSURA 2, LARGURA 24, ALTURA 18, APLICACAO APOIO VERTICAL LIVROS, FORM;1 | UNIDADE;1;;;;;;;ALM;Inativo
235086;BLOCO FLIP CHART, COR BRANCA;1 | BLOCO               ;1 | BL;;;;;NAO;NAO;ALM;Inativo
235086;BLOCO FLIP CHART, COR BRANCA;1 | BLOCO               ;1;;;;;;;ALM;Inativo
391548;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1;;;;;;;ALM;Inativo
391543;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1;;;;;;;ALM;Inativo
391456;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1 | FOLHA;;;;;NAO;NAO;ALM;Inativo
391451;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1;;;;;;;ALM;Inativo
391456;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1;;;;;;;ALM;Inativo
391451;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1 | FOLHA;;;;;NAO;NAO;ALM;Inativo
391548;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1 | FOLHA;;;;;NAO;NAO;ALM;Inativo
391543;BLOCO LAUDO MEDICO / TECNICO, MATERIAL PAPEL SIMPLES, GRAMATURA 75, IMPRESSAO PRETA FRENTE, COMPRIME;1 | FOLHA               ;1 | FOLHA;;;;;NAO;NAO;ALM;Inativo
396166;BLOCO LAUDO MEDICO / TECNICO, MATERIAL SUPERBOND 16 KG, GRAMATURA 56, COR BRANCA, IMPRESSAO PRETA FR;1 | UNIDADE;1;;;;;;;ALM;Inativo
396166;BLOCO LAUDO MEDICO / TECNICO, MATERIAL SUPERBOND 16 KG, GRAMATURA 56, COR BRANCA, IMPRESSAO PRETA FR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
237138;BLOCO OFTALMOLOGICO, MATERIAL ACO INOXIDAVEL, TAMANHO 8, CARACTERISTICAS ADICIONAIS COM LAMINA ACOPL;1 | BLOCO               ;1 | BL;;;;;NAO;NAO;ALM;Inativo
237138;BLOCO OFTALMOLOGICO, MATERIAL ACO INOXIDAVEL, TAMANHO 8, CARACTERISTICAS ADICIONAIS COM LAMINA ACOPL;1 | BLOCO               ;1;;;;;;;ALM;Inativo
237141;BLOCO OFTALMOLOGICO, MATERIAL ACO INOXIDAVEL, TAMANHO 8,25, CARACTERISTICAS ADICIONAIS COM LAMINA AC;1 | BLOCO               ;1 | BL;;;;;NAO;NAO;ALM;Inativo
237141;BLOCO OFTALMOLOGICO, MATERIAL ACO INOXIDAVEL, TAMANHO 8,25, CARACTERISTICAS ADICIONAIS COM LAMINA AC;1 | BLOCO               ;1;;;;;;;ALM;Inativo
290633;BLOCO PAUTADO, MATERIAL PAPEL APERGAMINHADO, GRAMATURA 56, COR BRANCA, COMPRIMENTO 155, LARGURA 205,; | ;0 | BL;;;;;NAO;NAO;ALM;Inativo
290633;BLOCO PAUTADO, MATERIAL PAPEL APERGAMINHADO, GRAMATURA 56, COR BRANCA, COMPRIMENTO 155, LARGURA 205,; | ;0;;;;;;;ALM;Inativo
203630;BLOCO RASCUNHO, MATERIAL CELULOSE VEGETAL, TIPO SEM PAUTA, TIPO PAPEL APERGAMINHADO, COMPRIMENTO 210;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
203630;BLOCO RASCUNHO, MATERIAL CELULOSE VEGETAL, TIPO SEM PAUTA, TIPO PAPEL APERGAMINHADO, COMPRIMENTO 210;1 | UNIDADE;1;;;;;;;ALM;Inativo
229395;BLOCO RECADO, MATERIAL PAPEL, COR AMARELO, LARGURA 76, COMPRIMENTO 102, TIPO REMOVIVEL, CARACTERISTI;1 | UNIDADE;1;;;;;;;ALM;Inativo
229395;BLOCO RECADO, MATERIAL PAPEL, COR AMARELO, LARGURA 76, COMPRIMENTO 102, TIPO REMOVIVEL, CARACTERISTI;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
355232;BLOCO RECADO, MATERIAL PAPEL, LARGURA 40, COMPRIMENTO 50, CARACTERISTICAS ADICIONAIS AUTO-ADESIVO, R;1 | UNIDADE;1;;;;;;;ALM;Inativo
355232;BLOCO RECADO, MATERIAL PAPEL, LARGURA 40, COMPRIMENTO 50, CARACTERISTICAS ADICIONAIS AUTO-ADESIVO, R;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
203718;BLOCO RECEITUARIO MEDICO, MATERIAL CELULOSE VEGETAL, TIPO PAPEL APERGAMINHADO, COR AZUL, GRAMATURA 7;1 | BLOCO               ;1 | BL;;;;;NAO;NAO;ALM;Inativo
203718;BLOCO RECEITUARIO MEDICO, MATERIAL CELULOSE VEGETAL, TIPO PAPEL APERGAMINHADO, COR AZUL, GRAMATURA 7;1 | BLOCO               ;1;;;;;;;ALM;Inativo
376130;BOBINA MAQUINA CALCULAR, MATERIAL PAPEL ACETINADO, GRAMATURA 75, LARGURA 60, COMPRIMENTO 65;1 | BOBINA              ;1 | BOB;;;;;NAO;NAO;ALM;Inativo
376130;BOBINA MAQUINA CALCULAR, MATERIAL PAPEL ACETINADO, GRAMATURA 75, LARGURA 60, COMPRIMENTO 65;1 | BOBINA              ;1;;;;;;;ALM;Inativo
140171;BOBINA MAQUINA CALCULAR, NOME BOBINA MAQUINA CALCULAR;1 | UNIDADE;1;;;;;;;ALM;Inativo
140171;BOBINA MAQUINA CALCULAR, NOME BOBINA MAQUINA CALCULAR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
266991;BOBINA PAPEL IMPRESSORA, TIPO PAPEL ACETINADO, APLICACAO IMPRESSORA BEMATECH MP 20 MI, CARACTERISTIC;1 | UNIDADE;1;;;;;;;ALM;Inativo
266991;BOBINA PAPEL IMPRESSORA, TIPO PAPEL ACETINADO, APLICACAO IMPRESSORA BEMATECH MP 20 MI, CARACTERISTIC;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
313377;BOBINA PAPEL IMPRESSORA, TIPO PAPEL MONOLUCIDO, COR BRANCO, COMPRIMENTO 30, LARGURA 76, APLICACAO IM; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
313377;BOBINA PAPEL IMPRESSORA, TIPO PAPEL MONOLUCIDO, COR BRANCO, COMPRIMENTO 30, LARGURA 76, APLICACAO IM; | ;0;;;;;;;ALM;Inativo
333147;BOBINA PAPEL IMPRESSORA, TIPO PAPEL TERMICO, COR AMARELA, COMPRIMENTO 40, LARGURA 80, APLICACAO IMPR; | ;0;;;;;;;ALM;Inativo
333147;BOBINA PAPEL IMPRESSORA, TIPO PAPEL TERMICO, COR AMARELA, COMPRIMENTO 40, LARGURA 80, APLICACAO IMPR; | ;0 | BOB;;;;;NAO;NAO;ALM;Inativo
200709;BORRACHA APAGADORA ESCRITA, MATERIAL BORRACHA, COMPRIMENTO 45, LARGURA 17, ALTURA 8, COR AZUL E VERM;1 | UNIDADE;1;;;;;;;ALM;Inativo
200709;BORRACHA APAGADORA ESCRITA, MATERIAL BORRACHA, COMPRIMENTO 45, LARGURA 17, ALTURA 8, COR AZUL E VERM;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
200711;BORRACHA APAGADORA ESCRITA, MATERIAL BORRACHA, COMPRIMENTO 45, LARGURA 23, ALTURA 12, COR BRANCA; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
200711;BORRACHA APAGADORA ESCRITA, MATERIAL BORRACHA, COMPRIMENTO 45, LARGURA 23, ALTURA 12, COR BRANCA; | ;0;;;;;;;ALM;Inativo
266217;CADEADO DE LATAO MACICO 20MM; | ;0;;;;;;;ALM;Inativo
266217;CADEADO DE LATAO MACICO 20MM; | ;0 | CONJ;;;;;;;ALM;Inativo
401540;CAIXA ARQUIVO, MATERIAL PAPEL MICROONDULADO 3MM, COR BRANCA, CARACTERISTICAS ADICIONAIS TIPO BOX; TR; | ;0 | UNIDADE(S);;;;;;;ALM;Inativo
401540;CAIXA ARQUIVO, MATERIAL PAPEL MICROONDULADO 3MM, COR BRANCA, CARACTERISTICAS ADICIONAIS TIPO BOX; TR; | ;0;;;;;;;ALM;Inativo
380426;CAIXA ARQUIVO, MATERIAL PAPELAO, COR PARDA, APLICACAO ARQUIVAMENTO DE DOCUMENTOS, DIMENSOES 1 410 X ;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
380426;CAIXA ARQUIVO, MATERIAL PAPELAO, COR PARDA, APLICACAO ARQUIVAMENTO DE DOCUMENTOS, DIMENSOES 1 410 X ;1 | UNIDADE;1;;;;;;;ALM;Inativo
229507;CAIXA ARQUIVO, MATERIAL PAPELAO, DIMENSOES 340X240X130, COR PARDA;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
229507;CAIXA ARQUIVO, MATERIAL PAPELAO, DIMENSOES 340X240X130, COR PARDA;1 | UNIDADE;1;;;;;;;ALM;Inativo
286267;CAIXA ARQUIVO, MATERIAL PAPELAO DOBRAVEL, DIMENSOES 355 X 250 X 135, COR PARDA, CARACTERISTICAS ADIC;1 | UNIDADE;1;;;;;;;ALM;Inativo
286267;CAIXA ARQUIVO, MATERIAL PAPELAO DOBRAVEL, DIMENSOES 355 X 250 X 135, COR PARDA, CARACTERISTICAS ADIC;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
314498;CAIXA PLASTICA, COR BRANCA, TIPO ORGANIZADOR COM TAMPA, DIMENSOES 400 X 270 X 133, CAPACIDADE 8,60;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
314498;CAIXA PLASTICA, COR BRANCA, TIPO ORGANIZADOR COM TAMPA, DIMENSOES 400 X 270 X 133, CAPACIDADE 8,60;1 | UNIDADE;1;;;;;;;ALM;Inativo
314500;CAIXA PLASTICA, COR BRANCA, TIPO ORGANIZADOR COM TAMPA, DIMENSOES 564 X 385 X 371, CAPACIDADE 56,11;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
314500;CAIXA PLASTICA, COR BRANCA, TIPO ORGANIZADOR COM TAMPA, DIMENSOES 564 X 385 X 371, CAPACIDADE 56,11;1 | UNIDADE;1;;;;;;;ALM;Inativo
346283;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 18, LARGURA 10,5, ALTURA 7,5, APLICACAO ACONDICI;1 | UNIDADE;1;;;;;;;ALM;Inativo
346283;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 18, LARGURA 10,5, ALTURA 7,5, APLICACAO ACONDICI;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
346284;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 25, LARGURA 15,5, ALTURA 12, APLICACAO ACONDICIO;1 | UNIDADE;1;;;;;;;ALM;Inativo
346284;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 25, LARGURA 15,5, ALTURA 12, APLICACAO ACONDICIO;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
346285;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 32, LARGURA 22, ALTURA 17,5, APLICACAO ACONDICIO;1 | UNIDADE;1;;;;;;;ALM;Inativo
346285;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 32, LARGURA 22, ALTURA 17,5, APLICACAO ACONDICIO;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
372970;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 564, LARGURA 385, ALTURA 201, APLICACAO ACONDICI;1 | UNIDADE;1;;;;;;;ALM;Inativo
372970;CAIXA PLASTICA, MATERIAL POLIPROPILENO, COMPRIMENTO 564, LARGURA 385, ALTURA 201, APLICACAO ACONDICI;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
285572;CAIXA TERMICA, MATERIAL TERMOPLASTICO, CAPACIDADE 12, CARACTERISTICAS ADICIONAIS DUPLA CAMADA DE PVC;1 | UNIDADE;1;;;;;;;ALM;Inativo
285572;CAIXA TERMICA, MATERIAL TERMOPLASTICO, CAPACIDADE 12, CARACTERISTICAS ADICIONAIS DUPLA CAMADA DE PVC;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
150717;CALCULADORA ELETRONICA, NOME CALCULADORA ELETRONICA;1 | UNIDADE;1;;;;;;;ALM;Inativo
150717;CALCULADORA ELETRONICA, NOME CALCULADORA ELETRONICA;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
301077;CANETA ESFEROGRAFICA, MATERIAL PLASTICO,  TIPO ESCRITA GROSSA, COR AZUL, SEXTAVADA; | ;0;;;;;;;ALM;Inativo
301077;CANETA ESFEROGRAFICA, MATERIAL PLASTICO,  TIPO ESCRITA GROSSA, COR AZUL, SEXTAVADA; | ;0 | UNIDADE;;;;;;;ALM;Inativo
200069;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA PLASTICO COM ESFER; | ;0;;;;;;;ALM;Inativo
200069;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA PLASTICO COM ESFER; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
200084;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO SEXTAVADO, MATERIAL PONTA ACO INOXIDAVEL COM ; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
200084;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO SEXTAVADO, MATERIAL PONTA ACO INOXIDAVEL COM ; | ;0;;;;;;;ALM;Inativo
271023;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
271833;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
271834;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
271023;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN; | ;0;;;;;;;ALM;Inativo
271834;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN;1 | UNIDADE;1;;;;;;;ALM;Inativo
271833;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, QUANTIDADE CARGAS 1, MATERIAL PONTA LATAO COM ESFERA DE TUN;1 | UNIDADE;1;;;;;;;ALM;Inativo
301078;CANETA ESFEROGRAFICA, PLASTICO, ESCRITA GROSSA, COR PRETA, SEXTAVADA; | ;0;;;;;;;ALM;Inativo
301078;CANETA ESFEROGRAFICA, PLASTICO, ESCRITA GROSSA, COR PRETA, SEXTAVADA; | ;0 | UNIDADE;;;;;;;ALM;Inativo
301079;CANETA ESFEROGRAFICA, PLASTICO, TIPO ESCRITA GROSSA, COR VERMELHA, SEXTAVADA; | ;0;;;;;;;ALM;Inativo
301079;CANETA ESFEROGRAFICA, PLASTICO, TIPO ESCRITA GROSSA, COR VERMELHA, SEXTAVADA; | ;0 | UNIDADE;;;;;;;ALM;Inativo
279504;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA AZUL, APLICACAO RETROPROJETOR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
279504;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA AZUL, APLICACAO RETROPROJETOR;1 | UNIDADE;1;;;;;;;ALM;Inativo
279506;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA PRETA, APLICACAO RETROPROJETOR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
279506;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA PRETA, APLICACAO RETROPROJETOR;1 | UNIDADE;1;;;;;;;ALM;Inativo
279508;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA VARIADA, APLICACAO RETROPROJETOR;1 | UNIDADE;1;;;;;;;ALM;Inativo
279508;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA VARIADA, APLICACAO RETROPROJETOR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
279507;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA VERMELHA, APLICACAO RETROPROJETOR;1 | UNIDADE;1;;;;;;;ALM;Inativo
279507;CANETA HIDROGRAFICA, MATERIAL PLASTICO, COR CARGA VERMELHA, APLICACAO RETROPROJETOR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
302538;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
302539;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
302540;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
303822;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0 | UNIDADE(S);;;;;NAO;NAO;ALM;Inativo
302538;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS;1 | UNIDADE;1;;;;;;;ALM;Inativo
302539;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0;;;;;;;ALM;Inativo
302540;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0;;;;;;;ALM;Inativo
303822;CANETA HIDROGRAFICA, MATERIAL PLASTICO, FORMATO CORPO CILINDRICO, MATERIAL PONTA POLIACETATO, ESPESS; | ;0;;;;;;;ALM;Inativo
279487;CANETA HIDROGRAFICA, MATERIAL PLASTICO, MATERIAL PONTA FELTRO, ESPESSURA ESCRITA FINA, COR CARGA VAR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
279487;CANETA HIDROGRAFICA, MATERIAL PLASTICO, MATERIAL PONTA FELTRO, ESPESSURA ESCRITA FINA, COR CARGA VAR;1 | UNIDADE;1;;;;;;;ALM;Inativo
279438;CANETA HIDROGRAFICA, MATERIAL PLASTICO, MATERIAL PONTA FELTRO, ESPESSURA ESCRITA MEDIA, COR CARGA AZ;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
279438;CANETA HIDROGRAFICA, MATERIAL PLASTICO, MATERIAL PONTA FELTRO, ESPESSURA ESCRITA MEDIA, COR CARGA AZ;1 | UNIDADE;1;;;;;;;ALM;Inativo
279440;CANETA HIDROGRAFICA, MATERIAL PLASTICO, MATERIAL PONTA FELTRO, ESPESSURA ESCRITA MEDIA, COR CARGA PR;1 | UNIDADE;1 | UNI;;;;;NAO;NAO;ALM;Inativo
